model,feature_representation,accuracy,macro_f1,weighted_f1,roc_auc,pr_auc,medium_recall,medium_f1
logistic_regression,word TF-IDF + affective features,0.3948465495831116,0.31994257050311825,0.3452466290002561,0.7433471897240231,0.531043143282783,0.3207638776501052,0.22409406976086835
linear_svm,word TF-IDF + affective features,0.8388327124356928,0.7446128793371315,0.8268357476818563,0.9277881772832063,0.8156704741521358,0.3688299077520634,0.4669125179266544
